job_number,job_scope,job_status_at_dwr_create,date,dwrNumber,jobNumber,dwrBillingType,additionalFields,labour.name,labour.unit,labour.quantity,timeCard.description
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-11-29,231129-021,24002,DWR.TM,[],Estimating,HR,0.75,Estimate setup
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-11-30,231130-014,24002,DWR.TM,[],Estimating,HR,0.5,Edit and update the proposal doc.
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-11-29,231130-020,24002,DWR.TM,[],Estimating,HR,3.5,"Review request from Ram Osama, Communications back and forth, preparing Excel numbers, add extra for winter conditions, submitting Thursday."
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-12-01,231204-025,24002,DWR.TM,[],Estimating,HR,3,"Back and forth with Osama over survey request, discussions with David, submit estimate to client."
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-12-04,231204-033,24002,DWR.TM,[],Estimating,HR,0.5,follow up on estimate
24002,"[""LiDAR"",""Topographic Survey""]",Job Setup,2023-11-29,231206-023,24002,DWR.TM,[],Estimating,HR,0.75,"answering some of KL questions, and understanding the schedule to make it possible for drone to be transferred "
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-01-22,240122-034,24002,DWR.TM,[],Administrator,HR,0.5,Project Conversion
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-03-31,240401-050,24002,DWR.TM,[],Survey Technologist,HR,1,AB-Meet with KL to drop X7
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-01,240403-022,24002,DWR.TM,[],Survey Technician,HR,11,"Travel from Nanaimo to site, complete safety tools, setup and begin collecting static, set control, lay out and set UAV ground control points, tear down, complete and submit notes, sketch and data, travel onto Merritt. "
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-02,240403-023,24002,DWR.TM,[],Survey Technician,HR,8.5,"Travel to site, complete safety tools, complete three LiDAR missions, tie TOPO, tear down, complete and submit notes, sketch and data, return to Merritt. "
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-01,240404-006,24002,DWR.TM,[],Survey Technician,HR,12,"Travel to site, safety papers with Xavier, set control points, scanning bridge deck and below, travel to office."
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-03,240404-007,24002,DWR.TM,[],Survey Technologist,HR,11.5,"(KL)Travel to site, line locating for electrical and fibre optic, travel to office."
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-03,240404-016,24002,DWR.TM,[],Survey Technician,HR,12.75,"Travel to site, complete safety tools, setup, collect remaining topo, conventional ties to control, tie Locates, tie scan targets, collect GCPs, collect equipment, complete and submit notes, sketch and data, return to Nanaimo. "
24002,"[""LiDAR"",""Topographic Survey""]",Ready to Schedule,2024-04-04,240405-001,24002,DWR.TM,[],Project Manager,HR,4,"(KL)Reviewing all data from field ie: lidar, photos uploaded, scan data, gps, scanned control points, and timesheets and expenses"
